# Process type         : partonic
# PDF set name         : PDF4LHC15_nnlo_100
# Fixed Order          : 1
# Partonic channel     : 0
# Center of M.E. (GeV) : 13000
# Higgs mass (GeV)     : 125
# Renorm. scale (GeV)  : 125
# Fact. scale (GeV)    : 125
# [pt value]     [dHpt (pb)]    [error (pb)]
1.000000e+00    3.047349e-01    1.396316e-03
1.100000e+00    2.640559e-01    1.187152e-03
1.200000e+00    2.315941e-01    1.022805e-03
1.300000e+00    2.050886e-01    8.909057e-04
1.400000e+00    1.831495e-01    7.841414e-04
1.500000e+00    1.647646e-01    6.956353e-04
1.600000e+00    1.491841e-01    6.217461e-04
1.700000e+00    1.358202e-01    5.593922e-04
1.800000e+00    1.242721e-01    5.062982e-04
1.900000e+00    1.142219e-01    4.606948e-04
2.000000e+00    1.054022e-01    4.206482e-04
2.100000e+00    9.760797e-02    3.862975e-04
2.200000e+00    9.070426e-02    3.561206e-04
2.300000e+00    8.453643e-02    3.291559e-04
2.400000e+00    7.900970e-02    3.053422e-04
2.500000e+00    7.404458e-02    2.839889e-04
2.600000e+00    6.954775e-02    2.650018e-04
2.700000e+00    6.546534e-02    2.477526e-04
2.800000e+00    6.176276e-02    2.323830e-04
2.900000e+00    5.836325e-02    2.182471e-04
3.000000e+00    5.525176e-02    2.054710e-04
3.100000e+00    5.239402e-02    1.937122e-04
3.200000e+00    4.976125e-02    1.830698e-04
3.300000e+00    4.731696e-02    1.727945e-04
3.400000e+00    4.506513e-02    1.638257e-04
3.500000e+00    4.299044e-02    1.558853e-04
3.600000e+00    4.104926e-02    1.482046e-04
3.700000e+00    3.923411e-02    1.407405e-04
3.800000e+00    3.754437e-02    1.341536e-04
3.900000e+00    3.596944e-02    1.280355e-04
4.000000e+00    3.449594e-02    1.223841e-04
4.100000e+00    3.311261e-02    1.170134e-04
4.200000e+00    3.181552e-02    1.120676e-04
4.300000e+00    3.059207e-02    1.074041e-04
4.400000e+00    2.944556e-02    1.031421e-04
4.500000e+00    2.835748e-02    9.901377e-05
4.600000e+00    2.733346e-02    9.519366e-05
4.700000e+00    2.636708e-02    9.163670e-05
4.800000e+00    2.545239e-02    8.822555e-05
4.900000e+00    2.458463e-02    8.503887e-05
5.000000e+00    2.376114e-02    8.201103e-05
5.100000e+00    2.297946e-02    7.913878e-05
5.200000e+00    2.223662e-02    7.640659e-05
5.300000e+00    2.153330e-02    7.384848e-05
5.400000e+00    2.085952e-02    7.146420e-05
5.500000e+00    2.021989e-02    6.917184e-05
5.600000e+00    1.960928e-02    6.696226e-05
5.700000e+00    1.902726e-02    6.487027e-05
5.800000e+00    1.847213e-02    6.284637e-05
5.900000e+00    1.794094e-02    6.095145e-05
6.000000e+00    1.743248e-02    5.914866e-05
6.100000e+00    1.694596e-02    5.740538e-05
6.200000e+00    1.647872e-02    5.570435e-05
6.300000e+00    1.603241e-02    5.411911e-05
6.400000e+00    1.560341e-02    5.260373e-05
6.500000e+00    1.519209e-02    5.117064e-05
6.600000e+00    1.479850e-02    4.979299e-05
6.700000e+00    1.441857e-02    4.844566e-05
6.800000e+00    1.405428e-02    4.719100e-05
6.900000e+00    1.370403e-02    4.596423e-05
7.000000e+00    1.336678e-02    4.478150e-05
7.100000e+00    1.304279e-02    4.367164e-05
7.200000e+00    1.273013e-02    4.256770e-05
7.300000e+00    1.242861e-02    4.152467e-05
7.400000e+00    1.213774e-02    4.053364e-05
7.500000e+00    1.185736e-02    3.956920e-05
7.600000e+00    1.158694e-02    3.864596e-05
7.700000e+00    1.132584e-02    3.775101e-05
7.800000e+00    1.107347e-02    3.688545e-05
7.900000e+00    1.082940e-02    3.605087e-05
8.000000e+00    1.059374e-02    3.524064e-05
8.100000e+00    1.036476e-02    3.445248e-05
8.200000e+00    1.014505e-02    3.371233e-05
8.300000e+00    9.932267e-03    3.299115e-05
8.400000e+00    9.725015e-03    3.228099e-05
8.500000e+00    9.525288e-03    3.162161e-05
8.600000e+00    9.331339e-03    3.095608e-05
8.700000e+00    9.142851e-03    3.032701e-05
8.800000e+00    8.961182e-03    2.971709e-05
8.900000e+00    8.784312e-03    2.911713e-05
9.000000e+00    8.612262e-03    2.853213e-05
9.100000e+00    8.446601e-03    2.797683e-05
9.200000e+00    8.284336e-03    2.742691e-05
9.300000e+00    8.128364e-03    2.690714e-05
9.400000e+00    7.975056e-03    2.639131e-05
9.500000e+00    7.827207e-03    2.589877e-05
9.600000e+00    7.683428e-03    2.541952e-05
9.700000e+00    7.543069e-03    2.493902e-05
9.800000e+00    7.407010e-03    2.449092e-05
9.900000e+00    7.275377e-03    2.406576e-05
1.000000e+01    7.146807e-03    2.362928e-05
1.010000e+01    7.021662e-03    2.321501e-05
1.020000e+01    6.899740e-03    2.281082e-05
1.030000e+01    6.781181e-03    2.242575e-05
1.040000e+01    6.665703e-03    2.204391e-05
1.050000e+01    6.553569e-03    2.166984e-05
1.060000e+01    6.443837e-03    2.130653e-05
1.070000e+01    6.336187e-03    2.094989e-05
1.080000e+01    6.231972e-03    2.060607e-05
1.090000e+01    6.130462e-03    2.026536e-05
1.100000e+01    6.031510e-03    1.994254e-05
1.110000e+01    5.934888e-03    1.962657e-05
1.120000e+01    5.840651e-03    1.931757e-05
1.130000e+01    5.748890e-03    1.902391e-05
1.140000e+01    5.658780e-03    1.872441e-05
1.150000e+01    5.571192e-03    1.843831e-05
1.160000e+01    5.486576e-03    1.813781e-05
1.170000e+01    5.401730e-03    1.788286e-05
1.180000e+01    5.320100e-03    1.761630e-05
1.190000e+01    5.240235e-03    1.735998e-05
1.200000e+01    5.162288e-03    1.710584e-05
1.210000e+01    5.086219e-03    1.685350e-05
1.220000e+01    5.011716e-03    1.660862e-05
1.230000e+01    4.938942e-03    1.637142e-05
1.240000e+01    4.867740e-03    1.613957e-05
1.250000e+01    4.798129e-03    1.591232e-05
1.260000e+01    4.730016e-03    1.569080e-05
1.270000e+01    4.663424e-03    1.547436e-05
1.280000e+01    4.598287e-03    1.526388e-05
1.290000e+01    4.534571e-03    1.505650e-05
1.300000e+01    4.472015e-03    1.485384e-05
1.310000e+01    4.410903e-03    1.465581e-05
1.320000e+01    4.350920e-03    1.445814e-05
1.330000e+01    4.292336e-03    1.425938e-05
1.340000e+01    4.234954e-03    1.407289e-05
1.350000e+01    4.178807e-03    1.388479e-05
1.360000e+01    4.123642e-03    1.370713e-05
1.370000e+01    4.069483e-03    1.354082e-05
1.380000e+01    4.016662e-03    1.337180e-05
1.390000e+01    3.964926e-03    1.320235e-05
1.400000e+01    3.914213e-03    1.303862e-05
1.410000e+01    3.864349e-03    1.286102e-05
1.420000e+01    3.815582e-03    1.270553e-05
1.430000e+01    3.767667e-03    1.254972e-05
1.440000e+01    3.720579e-03    1.239618e-05
1.450000e+01    3.674306e-03    1.224264e-05
1.460000e+01    3.629255e-03    1.209780e-05
1.470000e+01    3.584852e-03    1.195476e-05
1.480000e+01    3.541499e-03    1.181362e-05
1.490000e+01    3.498734e-03    1.167382e-05
1.500000e+01    3.457072e-03    1.154476e-05
1.510000e+01    3.415778e-03    1.141194e-05
1.520000e+01    3.375475e-03    1.127837e-05
1.530000e+01    3.335925e-03    1.114867e-05
1.540000e+01    3.296415e-03    1.100291e-05
1.550000e+01    3.258229e-03    1.087902e-05
1.560000e+01    3.220537e-03    1.075601e-05
1.570000e+01    3.183679e-03    1.063720e-05
1.580000e+01    3.147447e-03    1.052011e-05
1.590000e+01    3.112518e-03    1.040923e-05
1.600000e+01    3.077625e-03    1.029709e-05
1.610000e+01    3.043490e-03    1.019235e-05
1.620000e+01    3.009760e-03    1.008310e-05
1.630000e+01    2.976660e-03    9.977895e-06
1.640000e+01    2.944027e-03    9.871093e-06
1.650000e+01    2.911906e-03    9.767343e-06
1.660000e+01    2.880437e-03    9.666148e-06
1.670000e+01    2.849461e-03    9.565219e-06
1.680000e+01    2.818924e-03    9.467793e-06
1.690000e+01    2.789069e-03    9.374182e-06
1.700000e+01    2.759663e-03    9.273647e-06
1.710000e+01    2.730369e-03    9.182089e-06
1.720000e+01    2.701886e-03    9.091830e-06
1.730000e+01    2.673862e-03    9.000950e-06
1.740000e+01    2.646430e-03    8.910342e-06
1.750000e+01    2.619085e-03    8.819860e-06
1.760000e+01    2.592440e-03    8.733302e-06
1.770000e+01    2.566263e-03    8.652105e-06
1.780000e+01    2.540458e-03    8.568685e-06
1.790000e+01    2.514932e-03    8.485627e-06
1.800000e+01    2.490266e-03    8.406503e-06
1.810000e+01    2.465629e-03    8.327179e-06
1.820000e+01    2.441358e-03    8.247358e-06
1.830000e+01    2.417451e-03    8.169311e-06
1.840000e+01    2.393930e-03    8.092859e-06
1.850000e+01    2.370764e-03    8.017655e-06
1.860000e+01    2.347881e-03    7.942766e-06
1.870000e+01    2.325398e-03    7.867534e-06
1.880000e+01    2.303316e-03    7.796391e-06
1.890000e+01    2.281479e-03    7.725769e-06
1.900000e+01    2.260029e-03    7.655908e-06
1.910000e+01    2.238797e-03    7.587591e-06
1.920000e+01    2.217983e-03    7.520465e-06
1.930000e+01    2.197458e-03    7.453747e-06
1.940000e+01    2.177259e-03    7.388178e-06
1.950000e+01    2.157264e-03    7.322057e-06
1.960000e+01    2.137651e-03    7.257695e-06
1.970000e+01    2.118289e-03    7.194317e-06
1.980000e+01    2.099215e-03    7.132825e-06
1.990000e+01    2.080432e-03    7.070736e-06
